Company Legal Name,Trading Name,Region,HQ based in country,Valid website link OR leave blank,Lead Owner,Qualified as a customer at [day],Website form request send?,Message sent,Generic email,Names,Emails,
"1177 Technologies Co.,Ltd",1177PAY,Asia / Pacific,TAIWAN,1177pay.com.tw,,,,,,,,
151 Investments Pty Ltd,ONE FIVE ONE,Asia / Pacific,AUSTRALIA,151property.com.au,,,,,,,,
1LINK (Private) Limited,1LINK,Asia / Pacific,PAKISTAN,1link.net.pk,,,,,,,,
2C2P_ (Philippines) Inc,2C2P (Philipines) Inc,Asia / Pacific,Philippines,2c2p.com,,,,,,,,
"Tripleize Co., Ltd.",,Asia / Pacific,JAPAN,3-ize.jp,,,,,,,,
"Kuaiqian Payment and Settlement Service Co., Ltd.",99 Bill,Asia / Pacific,CHINA MAINLAND,99bill.com,,,,,,,,
Aamra Infotainment,Aamra,Asia / Pacific,Bangladesh,aamrainfotainment.com,,,,,,,,
ABCorp Australasia Pty Ltd,ABCorp,Asia / Pacific,AUSTRALIA,abcorp.com,,,,,,,,
Yahoo Japan Corporation (SDWO),Yahoo,Asia / Pacific,JAPAN,about.yahoo.co.jp,,,,,,,,
Acer E-Enabling Service Business Inc.,,Asia / Pacific,TAIWAN,acer.com,,,,,,,,
AdnTechnologies Limited,AdnTechnologies Limited,Asia / Pacific,Bangladesh,adntechnologies.net,,,,,,,,
Advam P/L,Advam,Asia / Pacific,AUSTRALIA,advam.com,,,,,,,,
Adyen Australia Pty Limited,Adyen,Asia / Pacific,AUSTRALIA,adyen.com,,,,,,,,
Affin Bank Berhad,,Asia / Pacific,MALAYSIA,affinbank.com.my,,,,,,,,
AGS Transact Technologies Ltd.,,Asia / Pacific,INDIA,agsindia.com,,,,,,,,
Jordan Ahli Bank,,Asia / Pacific,Jordan,ahli.com,,,,,,,,
"All In Finance Services Co., Ltd (AIF)",AIF Group,Asia / Pacific,CHINA MAINLAND,aifgrouplaos.com,,,,,,,,
Airpay Payments Services Private Limited,Airpay,Asia / Pacific,India,airpay.co.in,,,,,,,,
"AirPay (Thailand) Co., Ltd.",Airpay,Asia / Pacific,Thailand,airpay.in.th,,,,,,,,
ALLCARD INC.,,Asia / Pacific,PHILIPPINES,allcard.com.ph,,,,,,,,
"O'Pay Electronic Payment Co., Ltd",allPay,Asia / Pacific,Taiwan,allpay.com.tw,,,,,,,,
Amazon Pay,,Asia / Pacific,INDIA,amazonpay.in,,,,,,,,
"AnyPay Co., Ltd.",www.anypay.co.th,Asia / Pacific,Thailand,anypay.co.th,,,,,,,,
APG Security Pty Ltd,APG Security,Asia / Pacific,AUSTRALIA,apgsecurity.com.au,,,,,,,,
Appnit Technologies Pvt. Ltd.,Appnit,Asia / Pacific,India,appnittech.com,,,,,,,,
Arab Payment Services,,Asia / Pacific,IRAQ,aps.iq,,,,,,,,
Areeba SAL,,Asia / Pacific,LEBANON,areeba.com,,,,,,,,
Arkom Ltd,,Asia / Pacific,ISRAEL,arkom.co.il,,,,,,,,
Armbusinessbank CJSC,Armbusinessbank,Asia / Pacific,ARMENIA,armbusinessbank.am,,,,,,,,
AsiaPay (Thailand) Limited,,Asia / Pacific,THAILAND,asiapay.co.th,,,,,,,,
ASIAPAY HK LIMITED,,Asia / Pacific,HONG KONG,asiapay.com,,,,,,,,
Aspire Lifestyles,Aspire Lifestyles,Asia / Pacific,AUSTRALIA,aspirelifestyles.com,,,,,,,,
PROMISEPAY PTY LTD,Assembly Payments,Asia / Pacific,AUSTRALIA,assemblypayments.com,,,,,,,,
ATM Global Pty Ltd,ATM,Asia / Pacific,AUSTRALIA,atmglobal.net,,,,,,,,
ATM West Pty Ltd,,Asia / Pacific,AUSTRALIA,atmwest.com.au,,,,,,,,
Atom Technologies Limited,,Asia / Pacific,INDIA,atomtech.in,,,,,,,,
Atos Informational Technology HK Ltd,,Asia / Pacific,HONG KONG,atos.net,,,,,,,,
Ausfit Pty Ltd.,Ausfit,Asia / Pacific,Australia,ausfitonline.com.au,,,,,,,,
Australia Post,Australia Post,Asia / Pacific,AUSTRALIA,auspost.com.au,,,,,,,,
PAYGATE INDIA PRIVATE LIMITED,,Asia / Pacific,INDIA,avantgradepayment.com,,,,,,,,
Avenues India Pvt LTd,Avenues Payments India Pvt LTd,Asia / Pacific,India,avenues.in,,,,,,,,
"SBI Axes Co., Ltd",,Asia / Pacific,Japan,axes-group.co.jp,,,,,,,,
"AXES Payment Co.,Ltd",,Asia / Pacific,JAPAN,axes-payment.co.jp,,,,,,,,
AXS Pte Ltd,,Asia / Pacific,SINGAPORE,axs.com.sg,,,,,,,,
AZERICARD LTD,AZERICARD,Asia / Pacific,AZERBAIJAN,azericard.com,,,,,,,,
Aztech,Aztech,Asia / Pacific,AZERBAIJAN,aztech.az,,,,,,,,
B2M Technologies Limited,B2M Technologies Limited,Asia / Pacific,Bangladesh,b2m-tech.com,,,,,,,,
B.A. Technologies,Pay Day,Asia / Pacific,Israel,ba-techs.com,,,,,,,,
Bambora Online Pty Ltd,Bambora,Asia / Pacific,AUSTRALIA,bambora.com,,,,,,,,
BancNet Inc,,Asia / Pacific,PHILIPPINES,bancnetonline.com,,,,,,,,
"Banner Plasticard, Inc.",,Asia / Pacific,PHILIPPINES,bannercard.com,,,,,,,,
BBPOS Merchant Services Limited,BBPOS Merchant Services Limited,Asia / Pacific,CHINA MAINLAND,bbpos.com,,,,,,,,
PayEase (Beijing) Technology Ltd.,PayEase,Asia / Pacific,CHINA MAINLAND,beijing.com.cn,,,,,,,,
PT Bahana Sysfo Utama,,Asia / Pacific,INDONESIA,beps.co.id,,,,,,,,
Community CPS Australia,Beyond Bank Australia,Asia / Pacific,Australia,beyondbank.com.au,,,,,,,,
BigCommerce Holdings Inc,BigCommerce,Asia / Pacific,AUSTRALIA,bigcommerce.com,,,,,,,,
SKILWORTH TECHNOLOGIES PRIVATE LIMITED,,Asia / Pacific,INDIA,bijlipay.com,,,,,,,,
Bill Buddy Pty Ltd.,Bill Buddy,Asia / Pacific,Australia,billbuddy.com.au,,,,,,,,
INDIAIDEAS.COM LIMITED,Billdesk,Asia / Pacific,India,billdesk.com,,,,,,,,
Billzy Pty Ltd,Billzy,Asia / Pacific,Australia,billzy.com,,,,,,,,
Biosmart Co Ltd,,Asia / Pacific,SOUTH KOREA,bio-smart.com,,,,,,,,
"bitFlyer, Inc.",,Asia / Pacific,JAPAN,bitflyer.com,,,,,,,,
BITRON Co.,,Asia / Pacific,IRAQ,bitron.co,,,,,,,,
Bluepay Company Limited,Bluepay Company Limited,Asia / Pacific,Thailand,bluepay.co.th,,,,,,,,
Bank of China Limited,,Asia / Pacific,MAINLAND CHINA,boc.cn,,,,,,,,
Jescal Pty Ltd,,Asia / Pacific,AUSTRALIA,bridgeag.com,,,,,,,,
B Safe A.G. Limited,,Asia / Pacific,ISRAEL,bsafeisrael.com,,,,,,,,
BigSun Co. Ltd.,BigSun Industry Co. Ltd.,Asia / Pacific,JAPAN,bsunlight.com,,,,,,,,
Bundy Bowl & Leisure Complex,Bundy Bowl & Leisure,Asia / Pacific,AUSTRALIA,bundybowl.com.au,,,,,,,,
Central Nippon Exis Company,,Asia / Pacific,JAPAN,c-exis.co.jp,,,,,,,,
Central Nippon Expressway Company Limited,,Asia / Pacific,JAPAN,c-nexco.co.jp,,,,,,,,
Armenian Card CJSC,ArCa,Asia / Pacific,ARMENIA,cabinet.arca.am,,,,,,,,
CapitaLand Retail Limited,,Asia / Pacific,SINGAPORE,capitaland.com,,,,,,,,
Beautiful Card Corporation,,Asia / Pacific,TAIWAN,card.com.tw,,,,,,,,
Card Access Services,Card Access Services,Asia / Pacific,AUSTRALIA,cardaccess.com.au,,,,,,,,
"CardFlex Japan, Inc.",,Asia / Pacific,JAPAN,cardflex.co.jp,,,,,,,,
CardGate.net Pty Ltd,Card Gate,Asia / Pacific,AUSTRALIA,cardgate.net,,,,,,,,
"Shanghai CardInfoLink Data Services Co., Ltd",CardInfoLink,Asia / Pacific,CHINA MAINLAND,cardinfolink.com,,,,,,,,
IC Korea Co Ltd,,Asia / Pacific,SOUTH KOREA,cardnsoft.com,,,,,,,,
CardPe Services Pvt Limited,cardpe,Asia / Pacific,India,cardpe.com,,,,,,,,
CARDS4ALL PTY LTD,CARDS4ALL,Asia / Pacific,AUSTRALIA,cards4all.com.au,,,,,,,,
Zeus Corporation,,Asia / Pacific,JAPAN,cardservice.co.jp,,,,,,,,
